Post_Date,Organization,Organization_Link,Posts,Is_Walkin,Qualification,Experience_Type,Last_Date,Days_Left,Job_Type
27-05-2025,Haryana Public Service Commission (HPSC),https://linkingsky.com/government-exams/STATE_PSC/haryana-psc-recruitment.html,1711 Post Graduate Teacher (Re open),False,"Post Graduates,Engineers",Fresher,02-06-2025,,Top Job
27-05-2025,Central Council for Research in Ayurvedic Sciences (CCRAS),https://linkingsky.com/government-exams/psu-jobs/ccras-recruitment.html,1 Content Writer (CARI Guwahati) (Walkin),True,Graduates,Fresher,30-05-2025,3.0,Added Today
27-05-2025,Assam Public Service Commission (Assam PSC),https://linkingsky.com/government-exams/STATE_PSC/assam-psc-recruitment.html,"1 Adviser (Production) (lndustries Commerce & Public Enterprise Department JANATA BHAWAN, DISPUR, GUWAHATI)",False,"Servicemen,Engineers",Experience,28-06-2025,,Added Today
27-05-2025,Assam Public Service Commission (Assam PSC),https://linkingsky.com/government-exams/STATE_PSC/assam-psc-recruitment.html,11 Functional Manager/Project Manager/Deputy Director (Industdes and Commerce Department),False,"Servicemen,Graduates,Engineers",Experience,26-06-2025,,Added Today
27-05-2025,Goa Samagra Shiksha,https://linkingsky.com/government-exams/psu-jobs/goa-samagra-shiksha-recruitment.html,"849 Primary Teacher, Instructors and NSQF Insructors (Walkin)",True,"Intermediate,Graduates,Post Graduates,Engineers,Post Graduate Diploma,Doctors","Fresher,Experience",30-05-2025,3.0,Added Today
27-05-2025,All India Institute of Medical Science Kalyani (AIIMS Kalyani),https://linkingsky.com/government-exams/Teaching_Jobs/all-india-institute-of-medical-science-kalyani-aiims-kalyani-recruitment.html,210 Senior Resident,False,Doctors,Fresher,14-06-2025,,Added Today
27-05-2025,Jamia Millia Islamia (JMI),https://linkingsky.com/government-exams/Teaching_Jobs/jamia-millia-islamia-recruitment.html,14 PGT/TGT (Jamia Senior Secondary School),False,"Graduates,Post Graduates",Fresher,28-05-2025,1.0,Added Today
27-05-2025,Centre for Development of Advanced Computing (CDAC),https://linkingsky.com/government-exams/psu-jobs/cdac-hyderabad-recruitment.html,"13 Consultant, Senior Consultant and Advisor (Pune/ Delhi)",False,"Post Graduates,Engineers",Experience,06-06-2025,,Added Today
27-05-2025,Indian Institute of Technology Kharagpur (IIT Kharagpur),https://linkingsky.com/government-exams/Teaching_Jobs/iit-kharagpur-recruitment.html,3 Planning Research Fellow and Various,False,"Graduates,Post Graduates",Fresher,21-06-2025,,Added Today
27-05-2025,Bharat Electronics Limited (BEL),https://linkingsky.com/government-exams/psu-jobs/bel-recruitment.html,28 Project Engineer I (Military Communication SBU),False,Engineers,Experience,04-06-2025,,Added Today
27-05-2025,Neyveli Lignite Corporation Limited (NLC India Limited),https://linkingsky.com/government-exams/psu-jobs/nlc-recruitment.html,171 Junior Overman and Mining Sirdar (Extended),False,"Servicemen,Engineers,Diploma",Fresher,04-06-2025,,Top Job
27-05-2025,AAI Cargo Logistics and Allied Services Company limited (AAICLAS),https://linkingsky.com/government-exams/psu-jobs/aai-cargo-logistics-and-allied-services-company-limited-aaiclas-recruitment.html,"10 Security Screener (Kolkata, Bhubaneswar, Vadodara, Surat) (Walkin)",True,Graduates,Experience,09-06-2025,,Added Today
27-05-2025,National Chemical Laboratory Pune (NCL Pune),https://linkingsky.com/government-exams/psu-jobs/ncl-recruitment.html,"3 Project Associate, Project Assistant and Principal Project Associate",False,"Graduates,Post Graduates,Diploma","Fresher,Experience",06-06-2025,,Added Today
27-05-2025,Indian Institute of Technology Mandi (IIT Mandi),https://linkingsky.com/government-exams/Teaching_Jobs/iit-mandi-recruitment.html,1 Assistant Professor (Grade I/II),False,Post Graduates,Experience,12-06-2025,,Added Today
27-05-2025,Indian Institute of Technology Roorkee (IIT Roorkee),https://linkingsky.com/government-exams/Teaching_Jobs/iit-roorkee-recruitment.html,1 Research Associate (Department of Earthquake Engineering),False,Post Graduates,Experience,20-06-2025,,Added Today
27-05-2025,Indian Institute of Technology Roorkee (IIT Roorkee),https://linkingsky.com/government-exams/Teaching_Jobs/iit-roorkee-recruitment.html,1 Project Assistant (Biosciences and Bioengineering Department),False,"Post Graduates,Doctors",Fresher,04-06-2025,,Added Today
27-05-2025,Indian Institute of Technology Roorkee (IIT Roorkee),https://linkingsky.com/government-exams/Teaching_Jobs/iit-roorkee-recruitment.html,1 Research Associate (Department of Chemistry) (Walkin),True,Post Graduates,Fresher,18-06-2025,,Added Today
27-05-2025,Banaras Hindu University (BHU),https://linkingsky.com/government-exams/Teaching_Jobs/bhu-recruitment.html,2 Multitasking Staff (Department of Chemistry),False,Graduates,Fresher,10-06-2025,,Added Today
27-05-2025,Dr Panjabrao Deshmukh Krishi Vidyapeeth Akola (PDKV),https://linkingsky.com/government-exams/Teaching_Jobs/pdkv-akola-recruitment.html,1 Technical Assistant (Walkin),True,Graduates,Fresher,09-06-2025,,Added Today
27-05-2025,Himachal Pradesh Public Service Commission (HPPSC),https://linkingsky.com/government-exams/STATE_PSC/hppsc-recruitment.html,1 Professor (Ophthalmology) (Dr Yashwant Singh Parmar Government Medical College),False,Doctors,Experience,19-06-2025,,Added Today
27-05-2025,Sree Chitra Tirunal Institute for Medical Sciences and Technology (SCTIMST),https://linkingsky.com/government-exams/Teaching_Jobs/sctimst-recruitment.html,1 Research Fellowship (Walkin),True,Post Graduates,Experience,04-06-2025,,Added Today
27-05-2025,Sree Chitra Tirunal Institute for Medical Sciences and Technology (SCTIMST),https://linkingsky.com/government-exams/Teaching_Jobs/sctimst-recruitment.html,1 Project Coordinator (Walkin),True,Post Graduates,Experience,04-06-2025,,Added Today
27-05-2025,Banaras Hindu University (BHU),https://linkingsky.com/government-exams/Teaching_Jobs/bhu-recruitment.html,1 Technical Officer (Department of Microbiology),False,Post Graduates,Experience,10-06-2025,,Added Today
27-05-2025,Indian Institute of Technology Roorkee (IIT Roorkee),https://linkingsky.com/government-exams/Teaching_Jobs/iit-roorkee-recruitment.html,1 Junior Research Fellow (WRDM Department),False,"Post Graduates,Engineers",Fresher,20-06-2025,,Added Today
27-05-2025,Indian Institute of Technology Roorkee (IIT Roorkee),https://linkingsky.com/government-exams/Teaching_Jobs/iit-roorkee-recruitment.html,1 Research Associate (Department of Chemical Engineering) (Walkin),True,Post Graduates,Fresher,10-06-2025,,Added Today
27-05-2025,Indian Institute of Technology Roorkee (IIT Roorkee),https://linkingsky.com/government-exams/Teaching_Jobs/iit-roorkee-recruitment.html,1 Research Associate (Walkin),True,Post Graduates,Fresher,10-06-2025,,Added Today
27-05-2025,National Chemical Laboratory Pune (NCL Pune),https://linkingsky.com/government-exams/psu-jobs/ncl-recruitment.html,3 Project Associate I,False,"Post Graduates,Engineers",Fresher,10-06-2025,,Added Today
27-05-2025,Motilal Nehru National Institute of Technology Allahabad (MNNIT Allahabad),https://linkingsky.com/government-exams/Teaching_Jobs/mnnit-allahabad-recruitment.html,2 Junior Research Fellow (GIS Cell),False,"Post Graduates,Engineers",Fresher,04-06-2025,,Added Today
27-05-2025,All India Institute of Medical Sciences Mangalagiri (AIIMS Mangalagiri),https://linkingsky.com/government-exams/psu-jobs/all-india-institute-of-medical-sciences-mangalagiri-aiims-mangalagiri-recruitment.html,"5 Senior Resident, Data Manager and Various",False,"Post Graduates,Diploma,Doctors",Fresher,14-06-2025,,Added Today
27-05-2025,National Environmental Engineering Research Institute (NEERI),https://linkingsky.com/government-exams/Teaching_Jobs/neeri-recruitment.html,1 Project Associate II,False,Post Graduates,Experience,28-05-2025,1.0,Added Today
27-05-2025,Calcutta University (CALUNIV),https://linkingsky.com/government-exams/Teaching_Jobs/calcutta-university-recruitment.html,1 Junior Research Fellow (Department of Microbiology) (Walkin),True,Post Graduates,Fresher,04-06-2025,,Added Today
27-05-2025,Calcutta University (CALUNIV),https://linkingsky.com/government-exams/Teaching_Jobs/calcutta-university-recruitment.html,1 Project Associate I (Department of Botany),False,Post Graduates,Fresher,31-05-2025,4.0,Added Today
27-05-2025,Nanaji Deshmukh Veterinary Science University (NDVSU),https://linkingsky.com/government-exams/Teaching_Jobs/ndvsu-recruitment.html,1 Scientific Administrative Assistance/ field Worker (Walkin),True,Graduates,Fresher,05-06-2025,,Added Today
27-05-2025,North Eastern Institute of Ayurveda and Folk Medicine Research (NEIAFMR),https://linkingsky.com/government-exams/Teaching_Jobs/north-eastern-institute-of-ayurveda-and-folk-medicine-research-neiafmr-recruitment.html,1 Medical Superintendent (Ayurveda),False,"Post Graduates,Doctors",Experience,05-07-2025,,Added Today
27-05-2025,All India Institute of Medical Sciences Jodhpur (AIIMS Jodhpur),https://linkingsky.com/government-exams/psu-jobs/aiims-jodhpur-recruitment.html,1 Palliative Care Nurse (Walkin),True,Doctors,Experience,16-06-2025,,Added Today
27-05-2025,All India Institute of Medical Sciences Jodhpur (AIIMS Jodhpur),https://linkingsky.com/government-exams/psu-jobs/aiims-jodhpur-recruitment.html,"3 Medical Officer, Staff Nurse and MTS (Walkin)",True,"Matriculation,Doctors",Fresher,03-06-2025,,Added Today
27-05-2025,Indian Institute of Technology Patna (IIT Patna),https://linkingsky.com/government-exams/Teaching_Jobs/iit-patna-recruitment.html,1 Research Associate,False,Post Graduates,"Fresher,Experience",05-06-2025,,Added Today
27-05-2025,Indian Institute of Management Kashipur (IIM Kashipur),https://linkingsky.com/government-exams/Teaching_Jobs/iim-kashipur-recruitment.html,1 Academic Assistant/Associate (Finance and Accounting area),False,"Post Graduates,Engineers",Fresher,13-06-2025,,Added Today
27-05-2025,Bharathiar University,https://linkingsky.com/government-exams/Teaching_Jobs/bharathiar-university-recruitment.html,1 Project Assistant,False,Post Graduates,Fresher,07-06-2025,,Added Today
27-05-2025,Indian Institute of Technology Patna (IIT Patna),https://linkingsky.com/government-exams/Teaching_Jobs/iit-patna-recruitment.html,1 Junior Research Fellow,False,Post Graduates,Fresher,10-06-2025,,Added Today
27-05-2025,Dibrugarh University,https://linkingsky.com/government-exams/Teaching_Jobs/dibrugarh-university-recruitment.html,3 Field Investigator and Field Investigators,False,Post Graduates,Fresher,07-06-2025,,Added Today
27-05-2025,National Health Systems Resource Centre (NHSRC),https://linkingsky.com/government-exams/psu-jobs/nhsrc-recruitment.html,1 Junior Consultant,False,"Post Graduates,Post Graduate Diploma",Experience,11-06-2025,,Added Today
27-05-2025,National Health Systems Resource Centre (NHSRC),https://linkingsky.com/government-exams/psu-jobs/nhsrc-recruitment.html,1 Consultant,False,"Post Graduates,Post Graduate Diploma",Experience,11-06-2025,,Added Today
27-05-2025,Chittaranjan National Cancer Institute (CNCI),https://linkingsky.com/government-exams/Teaching_Jobs/chittaranjan-national-cancer-institute-cnci-recruitment.html,2 Stipendiary Intern (Clinical Pharmacist),False,Doctors,Fresher,12-06-2025,,Added Today
27-05-2025,Rajiv Gandhi Institute of Petroleum Technology (RGIPT),https://linkingsky.com/government-exams/Teaching_Jobs/rgipt-recruitment.html,1 Junior Research Fellow,False,Post Graduates,Fresher,15-06-2025,,Added Today
27-05-2025,National Institute for Interdisciplinary Science and Technology (NIIST),https://linkingsky.com/government-exams/Teaching_Jobs/niist-recruitment.html,1 Senior Project Associate (Walkin),True,Post Graduates,Experience,03-06-2025,,Added Today
